                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39724,                0.96625,                      1,                0.35976,              0.0002361,              0.0002361,              0.0002361
                      2,                0.08651,                0.96125,                      1,                0.35539,              0.0004694,              0.0004694,              0.0004694
                      3,                0.05403,                 0.9575,                      1,                0.35591,               0.000698,               0.000698,               0.000698
                      4,                0.03248,                   0.96,                      1,                0.35164,             0.00069279,             0.00069279,             0.00069279
                      5,                 0.0296,                0.95625,                      1,                0.35405,             0.00069279,             0.00069279,             0.00069279
                      6,                0.02857,                0.96125,                      1,                0.34823,             0.00068573,             0.00068573,             0.00068573
                      7,                0.02853,                   0.96,                      1,                0.35421,             0.00067866,             0.00067866,             0.00067866
                      8,                0.02188,                0.96875,                      1,                0.34691,             0.00067159,             0.00067159,             0.00067159
                      9,                 0.0184,                0.96625,                      1,                0.34845,             0.00066452,             0.00066452,             0.00066452
                     10,                0.01762,                   0.97,                      1,                0.34131,             0.00065745,             0.00065745,             0.00065745
                     11,                 0.0152,                 0.9625,                      1,                0.35246,             0.00065038,             0.00065038,             0.00065038
                     12,                0.01199,                  0.965,                      1,                0.34962,             0.00064331,             0.00064331,             0.00064331
                     13,                0.00613,                0.96375,                      1,                0.34637,             0.00063625,             0.00063625,             0.00063625
